id;createdAt;updatedAt;nome;valuta;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09
74;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Ciliegie bio - Duroncini;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,82;0,00;0,00;0,00
75;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Limoni bio - Bianchetto;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,39;0,39;0,00;0,00;0,00
76;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Patate di Primizia bio - ns;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,55;0,56;0,68;0,55;0,00;0,00;0,00
77;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Actinidia bio - ns;€/Kg;0,00;0,00;0,00;0,85;0,85;0,85;0,85;0,95;1,05;1,10;0,00;0,00;0,00;0,00
78;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Ovale;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,18;0,00;0,00;0,00;0,00
79;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Sanguinello;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,19;0,19;0,00;0,00;0,00;0,00
80;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Tarocco comune;€/Kg;0,00;0,00;0,00;0,36;0,27;0,18;0,15;0,15;0,14;0,13;0,00;0,00;0,00;0,00
81;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Tarocco gallo;€/Kg;0,00;0,00;0,00;0,40;0,33;0,20;0,14;0,15;0,21;0,21;0,00;0,00;0,00;0,00
82;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Tarocco S. Alfio;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,00
83;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Tarocco scirè;€/Kg;0,00;0,00;0,00;0,40;0,33;0,20;0,14;0,15;0,21;0,21;0,00;0,00;0,00;0,00
84;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Valencia;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24;0,21;0,00;0,00;0,00;0,00
85;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Fragole bio - ns;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,24;5,35;0,00;0,00;0,00;0,00
86;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Lattuga bio - Iceberg;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,30;1,30;0,00;0,00;0,00;0,00
87;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Lattuga bio - Trocadero;€/Kg;0,00;0,00;1,60;1,60;0,00;0,00;0,00;0,00;1,30;1,30;0,00;0,00;0,00;0,00
88;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Carciofi bio - ns;€/Capolino;0,00;0,00;0,00;0,59;0,59;0,59;0,50;0,34;0,25;0,00;0,00;0,00;0,00;0,00
89;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Cavolfiori e Cavoli broccoli bio - ns;€/Kg;0,00;0,00;0,36;0,42;0,42;0,39;0,36;0,28;0,34;0,00;0,00;0,00;0,00;0,00
90;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Limoni bio - Primofiore;€/Kg;0,00;0,00;0,36;0,39;0,36;0,33;0,33;0,33;0,34;0,00;0,00;0,00;0,00;0,00
91;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Navel;€/Kg;0,00;0,00;0,34;0,35;0,32;0,25;0,21;0,23;0,00;0,00;0,00;0,00;0,00;0,00
